Date,SP500,HKHSI,Nikkei225
6/1/2018,0.010790799,0.000798852,-0.001373384
6/4/2018,0.004469595,0.016427854,0.013644482
6/5/2018,0.000702346,0.003075105,0.002825679
6/6/2018,0.008530901,0.00531336,0.003816716
6/7/2018,-0.000714444,0.008077924,0.008692406
6/8/2018,0.003121029,-0.017750184,-0.005657577
6/11/2018,0.001068137,0.003401649,0.004815068
6/12/2018,0.001741867,0.001266314,0.003253359
6/13/2018,-0.004034255,-0.012224674,0.003840413
6/14/2018,0.0024685,-0.009318435,-0.009967112
6/15/2018,-0.00101762,-0.004302243,0.004963368
6/19/2018,-0.004031518,-0.02815084,-0.017876821
6/20/2018,0.00171069,0.007708046,0.01235461
6/21/2018,-0.006365729,-0.013565357,0.006082407
6/22/2018,0.001860203,0.001454716,-0.007795195
6/25/2018,-0.013819723,-0.012943852,-0.007967036
6/26/2018,0.002202151,-0.002765782,0.000172319
6/27/2018,-0.008641586,-0.018349994,-0.003148379
6/28/2018,0.00615968,0.00496225,-6.19E-05
6/29/2018,0.000758116,0.015936619,0.001530868
7/3/2018,-0.004959629,-0.014244909,-0.00121065
7/5/2018,0.008583856,-0.00211188,-0.00786102
7/6/2018,0.008445518,0.004726901,0.011129671
7/9/2018,0.008784291,0.01308278,0.012045635
7/10/2018,0.003467249,-0.000217881,0.006540768
7/11/2018,-0.007119486,-0.01300369,-0.011995842
7/12/2018,0.008710991,0.005956458,0.011593466
7/13/2018,0.001078656,0.001565069,0.018282784
7/16/2018,-0.001028665,0.000498403,0
7/17/2018,0.003965824,-0.012622594,0.004415965
7/18/2018,0.002158182,-0.0022828,0.004257064
7/19/2018,-0.003960827,-0.003797041,-0.001295457
7/20/2018,-0.000948898,0.007597433,-0.002938632
7/23/2018,0.001836362,0.001120338,-0.013344981
7/24/2018,0.004769519,0.01428206,0.005054414
7/25/2018,0.009060435,0.008972429,0.004599239
7/26/2018,-0.003036903,-0.004844197,-0.001211513
7/27/2018,-0.006583835,0.00080363,0.005557715
7/30/2018,-0.005770789,-0.00247312,-0.007420233
7/31/2018,0.004872837,-0.005238365,0.000393842
8/1/2018,-0.001040893,-0.008512123,0.008519995
8/2/2018,0.00491435,-0.022342427,-0.010348034
8/3/2018,0.004633432,-0.001380741,0.000561769
8/6/2018,0.003531982,0.005162205,-0.000793177
8/7/2018,0.002820202,0.015314451,0.006881573
8/8/2018,-0.000262414,0.003895558,-0.000813546
8/9/2018,-0.001442715,0.008712558,-0.002029938
8/10/2018,-0.007139312,-0.008448886,-0.013378113
8/13/2018,-0.004014037,-0.015276477,-0.019959684
8/14/2018,0.00636893,-0.006595185,0.022557428
8/15/2018,-0.007631209,-0.015590983,-0.006815931
8/16/2018,0.007888214,-0.008214464,-0.000548769
8/17/2018,0.003317607,0.00417391,0.003523959
8/20/2018,0.002425075,0.014034142,-0.00321034
8/21/2018,0.0020664,0.005592328,0.000933411
8/22/2018,-0.000398231,0.006278392,0.006407066
8/23/2018,-0.001692694,-0.004921904,0.002156172
8/24/2018,0.006179706,-0.004276487,0.008484309
8/27/2018,0.007641141,0.021429735,0.008716573
8/28/2018,0.000269242,0.002838063,0.000606408
8/29/2018,0.005685242,0.002283691,0.001522064
8/30/2018,-0.004440172,-0.008921462,0.000930899
8/31/2018,0.000134469,-0.009830131,-0.000190211
9/4/2018,-0.001655692,0.009366924,-0.000461651
9/5/2018,-0.002807063,-0.026424115,-0.005127049
9/6/2018,-0.003658991,-0.009923943,-0.004122179
9/7/2018,-0.002215798,-5.00E-05,-0.008075896
9/10/2018,0.001896028,-0.01343822,0.002955646
9/11/2018,0.003732866,-0.007197755,0.012949292
9/12/2018,0.000356608,-0.002937855,-0.002654343
9/13/2018,0.005268352,0.025093411,0.00954136
9/14/2018,0.000275444,0.010015384,0.011906651
9/18/2018,0.005354653,0.005620805,0.014011524
9/19/2018,0.001252488,0.011844402,0.010701487
9/20/2018,0.007810014,0.002561748,0.000101807
9/21/2018,-0.000368601,0.017171608,0.008202826
9/26/2018,-0.0032947,0.011478795,0.003899167
9/27/2018,0.002759476,-0.003644686,-0.009912112
9/28/2018,-6.87E-06,0.002625014,0.013494385
10/2/2018,-0.000396769,-0.024116251,0.001024783
10/3/2018,0.000711267,-0.00129556,-0.006599982
10/4/2018,-0.008203036,-0.017403008,-0.005629103
10/5/2018,-0.005543315,-0.001928657,-0.008036102
10/9/2018,-0.00141891,-0.001132597,-0.013304297
10/10/2018,-0.033416389,0.000769972,0.001560324
10/11/2018,-0.02078758,-0.036020655,-0.039711998
10/12/2018,0.014106236,0.020958023,0.004584289
10/15/2018,-0.005922482,-0.013910612,-0.018830772
10/16/2018,0.021267828,0.000675707,0.012402484
10/18/2018,-0.014496491,-0.000302807,-0.008042324
10/19/2018,-0.000361235,0.004188877,-0.005579984
10/22/2018,-0.004308797,0.022886241,0.003665382
10/23/2018,-0.005527076,-0.031327,-0.027073156
10/24/2018,-0.031350774,-0.003825242,0.003646118
10/25/2018,0.018453718,-0.010163177,-0.037940479
10/26/2018,-0.017479138,-0.011137449,-0.003963457
10/29/2018,-0.006581208,0.003812193,-0.001643998
10/30/2018,0.015545323,-0.009170952,0.014433918
10/31/2018,0.010792879,0.015905043,0.021356086
11/1/2018,0.010502499,0.017315824,-0.010677498
11/2/2018,-0.006336721,0.041250594,0.025314039
11/5/2018,0.005584694,-0.02105958,-0.015616503
11/6/2018,0.006239788,0.007168182,0.011295383
11/7/2018,0.020987079,0.001022736,-0.002801008
11/8/2018,-0.002512069,0.003056064,0.0179989
11/9/2018,-0.009241586,-0.024149548,-0.010580559
11/12/2018,-0.019898151,0.001220248,0.000881887
11/13/2018,-0.001483019,0.00621047,-0.020842731
11/14/2018,-0.007596189,-0.00538181,0.001647431
11/15/2018,0.010538033,0.017347015,-0.00196386
11/16/2018,0.002220838,0.003067291,-0.00567012
11/19/2018,-0.016783162,0.007172281,0.006474296
11/20/2018,-0.018317995,-0.020366011,-0.01096866
11/21/2018,0.003038669,0.005061824,-0.00350796
11/26/2018,0.015412976,0.017150206,0.007614153
11/27/2018,0.003256384,-0.001677872,0.006416214
11/28/2018,0.022714051,0.013226743,0.010180106
11/29/2018,-0.002185494,-0.008715117,0.003851526
